source_file,well_file_no,well_name,api_number,county,section,township,range,quarter_quarter,footages,latitude,longitude,operator,spud_date,completion_date,stimulation_type,field_name,pool,raw_text_sample
W21266.pdf,21266,SM Energy Dahl 15-11,N/A,Dahl,57,153N,101W,SWSE,N/A,48.082327,-103.6359,to submit an image log as a,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Oasis,County,"AUTHORIZATION TO PURCHASE AND TRANSPORT OIL FROM LEASE,....-_F_o_rm__a _____ __, INDUSTRIAL COMMISSION OF NORTH DAKqI.A Well File No. Keceived OIL AND GAS DIVISION 21266 600 EAST BOULEVARD DEPT 405 NDICCTB No. BISMARCK, ND 58505-0840 DEC 05 2016 121266 SFN 5698 (03-2000) PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. ND Oil & Gas Division PLEASE SUBMIT THE ORIGINAL AND FOUR COPIES. Well Name and Number Qtr-Qtr Section Township Range County DAHL 15-11H SWSE 11 153 101 McKenzie Operator Telepho"
W25571.pdf,25571,Spacing Unit Description Colville 5301 44-12T,33-053-04981,Gas,57,153N,101W,SESE,191' FNL & 1134' FEL,48.082717,-103.608022,Mike McCammond,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Oasis,Name,"SUNDRY NOTICES AND REPORTS ON WELLS - FORM 4 INDUSTRIAL COMMISSION OF NORTH DAKOTAOIL AND GAS DIVISION 'Well File No. 600 EAST BOULEVARD DEPT 405 25571 BISMARCK, ND 58505-0840 SFN 5749 (09-2006) PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINAL AND ONE COPY. ID Notice of Intent Approximate Start Date D Spill Report D DRedrilling or Repair Shooting 0 Report of Work Done Date Work Completed D Casing or Liner D Acidizing November 30, 2013 D DPlug Well Fracture Treatment D"
W28651.pdf,28651,Otr-Otr County swsw KLINE FEDERAL 5300 41-18,33-053-06025,Swsw,57,153N,100W,SWSW,1250' FSL & 237' FWL,N/A,N/A,Oasis Petroleum,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Oasis,Name,"AUTHORIZATION TO PURCHASE AND TRANSPORT OIL FROM LEASE,_-..:.F.=:onn:.:.:.:..;B=---------. INDUSTRIAL COMMISSION OF NORTH DAKOTA Welll'lleNo. OIL AND GAS DMSION 286!1 600 EAST BOULEVARD DEPT 40! NDICCTINo. BISMARCK, NO !8505-0840 116133 SFN 5698 (03-2000) PLEAS!! RI!AO INSTRUCnONS BII'ORE FIWNG OUT FORM. PLIASI! SUBMIT THI! ORIGINAL AND FOUR COPIES. Well Name and Number Otr-Otr County swsw KLINE FEDERAL 5300 41-18 9T Mckenzie Operator Telephone Number Field Oasis Petroleum North America LLC (281"
W22220.pdf,22099,Oasis Jefferies 5301 43-12B,33-053-03911,Gas,57,153N,101W,SESE,190' FNL & 2635' FEL,48.082767,-103.612014,Jace Pitre,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",BAKERNORTH,Ed,"SUNDRY NOTICES AND REPORTS ON WELLS~::-· FORll1t4 INDUSTRIAL COMMISSION OF NORTH DAKOTA --~-0,i.--·',.,(b?/_}, OIL AND GAS DIVISION ""t~;,,' .. <q<j> Well File No. 600 EAST BOULEVARD DEPT 405 ~ J/1 ~ 222100-01 ~ !Jer~l ~ BISMARCK, ND 58505-0840 ?01JNDaltlv;:-D /\..) SFN 5749 (09-2006) .;e ~ /\ 'f!D ¥..,; C. ~ ,;111;.<;,:,jf .G4.§ ~ .l ""'°'"""" (,.. PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. /'& . o. , PLEASE SUBMIT THE ORIGINAL AND ONE COPY. c}I/ , ...... L. ,, 0 Notice of Intent Approximate"
W22221.pdf,22221,Spacing Unit Description lnnoko 5301 43-12T,33-053-03911,Gas,57,153N,101W,SWSE,198' FNL & 2518' FEL,48.082789,-103.613744,shall file with the Commission two cooies of all logs run. Logs shall be submitted as one,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Oasis,County,"SUNDRY NOTICES AND REPORTS ON WELLS - FINDUSTRIAL COMMISSION OF NORTH DAKOTA <o°-' OIL AND GAS DIVISION E~ !Well File No. 22221 600 EAST BOULEVARD DEPT 405 BISMARCK, ND 58505-0840 ('.! SFN 5749 (09-2006) PLEJ.SE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEJISE SUBMIT THE ORIGINAL AND ONE COPY. IC Notice of Intent Approximate Start Date D Drilling Prognosis D Spill Report D Redrilling or Repair D Shooting G'.:: Report of Work Done Date Work Completed D Casing or Liner D Acidizing December 15, 2"
W28637.pdf,28637,Job # S14009-02,33-053-06022,Gas,57,153N,100W,SWNW,2636' FSL & 326' FWL,48.061292,-103.602808,"Oasis Petroleum North America, LLC",N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Oasis,Name,"SUNDRY NOTICES AND REPORTS ON WELLS - FORM 4 INDUSTRIAL COMMISSION OF NORTH DAKOTA Receiveld-----------. OIL AND GAS DIVISION ell File No. 600 EAST BOULEVARD DEPT 405 FEB 12 201--- 29537 - - -___. BISMARCK, ND 58505-0840 SFN 5749 (09-2006) ND Oil & Gas Division PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINAL AND ONE COPY. ID Notice of Intent Approximate Start Date D Drilling Prognosis D Spill Report D DRedrilling or Repair Shooting 0 Report of Work Done Date Work Com"
W11920.pdf,11920,CORPS OF ENGINEERS 31-10,N/A,Mckenziesection,10,153N,101W,NWNE,N/A,N/A,N/A,"RIM OPERATING, INC.",N/A,N/A,N/A,BAKERCounty,N/A,"Industrial Commission of North Dakota Oil and Gas Division Spill / Incident Report Date/Time Reported : Dec 8 2014 / 14:08 State Agency person : Responsible Party : RIM OPERATING, INC. Well Operator : RIM OPERATING, INC. Date/Time of Incident : 12/7/2014 12:00:00 AMNDIC File Number : 11920 Facility Number : Well or Facility Name : CORPS OF ENGINEERS 31-10 Type of Incident : Valve/Piping Connection Leak Field Name : BAKERCounty : MCKENZIESection : 10 Township : 153 Range : 101 Quarter-Quarter : Q"
W23372.pdf,23372,ATLANTA 1-6H,33-105-02732,Gas,57,153N,101W,NWNW,N/A,48.109997,-103.731825,"CONTINENTAL RESOURCES, INC.",12/16/12,12/24/12,"Acidizing, Fracture Treatment, Shooting",Pool,County,"j SUNDRY NOTICES AND REPORTS ON WELLS - FORM 4 INDUSTRIAL COMMISSION OF NORTH DAKOTA ! OIL AND GAS DIVISION Well File No. 600 EAST BOULEVARD DEPT 405 23372 BISMARCK, ND 58505-0840 SFN 5749 (09-2006) PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. ~ PLEASE SUBMIT THE ORIGINALI A ND ONE COPY. D Notice of Intent Approximate Start Date D D Spill Report D D Shooting Ill Report of Work Done Date Work Completed D Casing or Liner D Acidizing June 4, 2014 D PlugWell D Fracture Treatment D Notice of Int"
W23366.pdf,23366,HORIZONTAL WELLATLANTA FEDERAL 7-6H,33-105-02726,Gas,57,153N,101W,NWNW,N/A,N/A,N/A,"Continental Resources, Inc.",7/6/13,7/12/13,"Acidizing, Fracture Treatment, Shooting",Continental,Name,"5 ! Well File No. 600 EAST BOULEVARD DEPT 405 23366 BISMARCK, ND 58505-0840 SFN 5749 (09-2006) PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINALI A ND ONE COPY. D Notice of Intent Approximate Start Date O Drilling Prognosis D Spill Report 0 Redrilling or Repair D Shooting Ill Report of Work Done Date Work Completed 0 Casing or Liner D Acidizing June 4, 2014 O Plug Well D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental H"
W22247.pdf,22247,MAGNUM 1-36-25H,33-053-03943,Mckenziesection,36,153N,101W,SWSW,250' FSL & 815' FWL,48.025097,-103.622319,"SLAWSON EXPLORATION COMPANY, INC.",N/A,N/A,"Fracture Treatment, Shooting",BAKERCounty,Permit,"Slawson Exploration Company, Inc. McKenzie County, NDSec. 36-T153N-R101WMagnum 1-36-25HPlan ASurvey: Sperry Survey Standard Report 22 March, 2012 Well Coordinates: 389,408.89 N, 1,204,680.91 E (48° 01' 30.35"" N, 103° 37' 20.35"" W) Ground Level: 2,187.00 ft Local Coordinate Origin: Centered on Well Magnum 1-36-25HViewing Datum: RKB 22.00' @ 2209.00ft (Nabors 419) TVDs to System: NNorth Reference: True Unit System: API - US Survey Feet - Custom Geodetic Scale Factor Applied Version: 2003.16 Build:"
W28756.pdf,28756,Spacing Unit Description Kline Federal 5300 31-18,33-053-06057,Gas,57,153N,100W,NENW,2130' FSL & 626' FWL,48.074308,-103.603161,"Oasis Petroleum North America, LLC",N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Oasis,Name,"SUNDRY NOTICES AND REPORTS ON WELLS - FORM 4 RE E EDINDUSTRIAL COMMISSION OF NORTH DAKOTAI OIL AND GAS DIVISION IWell File No. 600 EAST BOULEVARD DEPT 405 FEB 0 3 2017 28756 BISMARCK, ND 58505-0840 SFN 5749 (09-2006) ND Oil & Gas Div. PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINAL AND ONE COPY. D Notice of Intent I Approximate Start Date D Drilling Prognosis D Spill Report D DRedrilling or Repair Shooting 0 Report of Work Done Date Work Completed D Casing or Liner D"
W28554.pdf,28554,Spacing Unit Description Wade Federal 5300 31-30,33-053-05995,Gas,57,153N,100W,SWNW,1329' FSL & 240' FWL,48.044367,-103.600067,and will be,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Pool,County,"SUNDRY NOTICES AND REPORTS ON WELLS - FORM 4 INDUSTRIAL COMMISSION OF NORTH DAKOTAOIL AND GAS DIVISION IWell File No. Received 28554 600 EAST BOULEVARD DEPT 405 BISMARCK, ND 58505-0840 SFN 5749 (09-2006) FEB 1 2 2016 PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINAL AND ONE COPY. D Notice of Intent I Approximate Start Date D Drilling Prognosis D Spill Report D DRedrilling or Repair Shooting 0 Report of Work Done Date Work Completed D Casing or Liner D Acidizing Se temb"
W23367.pdf,23367,ATLANTA FEDERAL 6-6H,33-105-02727,Williamssection,6,153N,101W,NWNW,N/A,N/A,N/A,"Continental Resources, Inc.",6/15/13,6/22/13,"Acidizing, Fracture Treatment, Shooting",BAKERCounty,Name,"Industrial Commission of North Dakota Oil and Gas Division Spill / Incident Report Date/Time Reported : Feb 7 2014 / 12:07 State Agency person : Responsible Party : Versatile Energy Well Operator : CONTINENTAL RESOURCES, INC. Date/Time of Incident : 2/6/2014 12:00:00 AMNDIC File Number : 23367 Facility Number : Well or Facility Name : ATLANTA FEDERAL 6-6HType of Incident : Other Field Name : BAKERCounty : WILLIAMSSection : 6 Township : 153 Range : 101 Quarter-Quarter : Quarter : Distance to near"
W28636.pdf,28636,Spacing Unit Description Chalmers 5300 21-19,33-053-06021,Chalmers,57,153N,100W,SWNW,2044' FNL & 200' FEL,48.061472,-103.602808,"Oasis Petroleum North America, LLC",N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Oasis,Name,".. INDUSTRIAL COMMISSION OF NORTH DAKOTAOIL AND GAS DIVISION 600 EAST BOULEVARD DEPT 405 BISMARCK, ND 58505-0840 SFN 2468 (04-2010) PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINAL AND ONE COPY. Designate Type of Completion i;zJ Oil Well D EOR Well D Recompletion D Deepened Well D Added Horizontal Leg D Extended Horizontal Leg D Gas Well D SWD Well D Water Supply Well D Other: Well Name and Number Spacing Unit Description Chalmers 5300 21-19 ST Sec. 19/20 T153N R100WO"
W28634.pdf,28634,Spacing Unit Description Chalmers 5300 21-19,33-053-06019,Chalmers,57,153N,100W,SENE,1444' FNL & 200' FEL,48.061653,-103.602808,"Oasis Petroleum North America, LLC",N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Oasis,Name,"WELL COMPLETION OR RECOMPLETION REPORT -FORM 6 ~ \~tU21?c??J~ INDUSTRIAL COMMISSION OF NORTH DAKOTA ~"" \ • ~ OIL AND GAS DIVISION r:"":"":'~*'""""""e-:-N:-.o --------., 600 EAST BOULEVARD DEPT 405 28634 BISMARCK, ND 58505-0840 SFN 2468 (04-2010) PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINAL AND ONE COPY. Designate Type of Completion IZI Oil Well D EOR Well D Recompletion D Deepened Well D Added Horizontal Leg D Extended Horizontal Leg D Gas Well D SWD Well D Water Suppl"
W23365.pdf,23365,HORIZONTAL WELLATLANTA FEDERAL 8-6H,33-105-02725,Gas,57,153N,101W,NWNW,N/A,N/A,N/A,"Continental Resources, Inc.",N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Pool,Lcounty,") SUNDRY NOTICES AND REPORTS ON WELLS - FORM 4 INDUSTRIAL COMMISSION OF NORTH DAKOTAOIL AND GAS DIVISION Well File No. 600 EAST BOULEVARD DEPT 405 23365 BISMARCK, ND 58505-0840 SFN 5749 (09-2006) ' PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINALI A ND ONE COPY. D Notice of Intent Approximate Start Date D D Spill Report D Redrilling or Repair D Shooting Ill Report of Work Done Date Work Completed D Casing or Liner D Acidizing June 4, 2014 D Plug Well D Fracture Treatm"
W23371.pdf,23371,ATLANTA 2-6H,33-105-02731,Williamssection,6,153N,101W,NWNW,N/A,48.109997,-103.731825,"CONTINENTAL RESOURCES, INC.",1/7/13,1/14/13,"Acidizing, Fracture Treatment, Shooting",BAKERCounty,County,"Industrial Commission of North Dakota Oil and Gas Division Spill / Incident Report Date/Time Reported : Oct 27 2013 / 17:09 State Agency person : Responsible Party : Petty Construction Well Operator : CONTINENTAL RESOURCES, INC. Date/Time of Incident : 10/27/2013 12:00:00 AMNDIC File Number : 23371 Facility Number : Well or Facility Name : ATLANTA 2-6HType of Incident : Tank Overflow Field Name : BAKERCounty : WILLIAMSSection : 6 Township : 153 Range : 101 Quarter-Quarter : Quarter : Distance to"
W23359.pdf,23359,Atlanta 14-6H,33-105-02719,Gas,57,153N,101W,NENW,N/A,N/A,N/A,"Continental Resources, Inc.",03/05/13,04/14/13,"Acidizing, Fracture Treatment, Shooting",Continental,Name,"5 SUNDRY NOTICES AND REPORTS ON WELLS - FORM 4 l\tC lff.i2r.,_., INDUSTRIAL COMMISSION OF NORTH DAKOTAOIL AND GAS DIVISION ~~ .. ""~$':> Well File No. 600 EAST BOULEVARD DEPT 405 ~ <~ 23359 ;;i . Su'- i(Jv... ~\ BISMARCK. ND 58505-0840 SFN 5749 (09-2006) (,\:_\\\~~ ~ ;_ D\:_ ' PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. 'r ~ /> / l ~ ' \ ) u ( \ ) \ \\ J _ \ < & 2 . , \ \ l 0 J ~ 'W .. ~\., PLEASE SUBMIT THE ORIGINALI A ND ONE COPY. gSD Notice of Intent Approximate Start Date D D Spill Repo"
W20863.pdf,20863,FOLEY FEDERAL 5301 43-12H,N/A,Mckenziesection,12,153N,101W,SWSE,200' FNL & 1827' FEL,48.082761,-103.611606,OASIS PETROLEUM NORTH AMERICA LLC,N/A,N/A,N/A,BAKERCounty,Permit,Industrial Commission of North Dakota Oil and Gas Division Spill / Incident Report Date/Time Reported : Jan 12 2016 / 08:23 State Agency person : Responsible Party : OASIS PETROLEUM NORTH AMERICA LLCWell Operator : OASIS PETROLEUM NORTH AMERICA LLCDate/Time of Incident : 1/12/2016 12:00:00 AMNDIC File Number : 20863 Facility Number : Well or Facility Name : FOLEY FEDERAL 5301 43-12HType of Incident : Valve/Piping Connection Leak Field Name : BAKERCounty : MCKENZIESection : 12 Township : 153 Rang
W28754.pdf,28754,Spacing Unit Description Kline Federal 5300 31-18,33-053-00605,Kline,57,153N,100W,SENW,2523' FSL & 238' FWL,48.074489,-103.603161,M McCammond,N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Address,Name,"AUTHORIZATION TO PURCHASE AND TRANSPORT OIL FROM LEASE,..-..;,.F.;;;orm;.;.;.;,..;8;;_ __. .,_.;.;;.._--, INDUSTRIAL COMMISSION OF NORTH DAKOTAOIL AND GAS DMSION 28754 600 EAST BOULEVARD DEPT 405 NDICCT!No. BISMARCK, NO 5850S-0840 0 SFN 5698 (03-2000) P~t~6/ PLIASI READ INSTRUCTIONS BIFORI! FIWNO OUT FORM. ~c..~ \t,._.. PLIASI SUBMIT THI ORIGINAL AND FOUR COPIIS. Wall Nama and Number Qtr-Qtr County KLINE FEDERAL 5300 31-18 88 LOT3 Opemor Telephone Number Oasis Petroleum North America LLC (281) 4"
W15358.pdf,15358,Lewis & Clark 2-4H,N/A,McKenzie,4,153N,101W,SENE,N/A,N/A,N/A,NANCE PETROLEUM CORPORATION,N/A,N/A,N/A,BAKER,N/A,"OIL AND GAS DIVISION Well File No. 600 EAST BOULEVARD DEPT 40 15358 BISMARCK, ND 58505-0840 Well Name and Number Qtr-Qtr Section Township Range County Lewis & Clark 2-4H SENE 4 153 N 101 w McKenzie Operator Telephone Number Field RIM Operatin , Inc 303-799-9828 Baker Address City State Zip Code co 5 Inverness Drive East En lewood 80112 I 1% Name of First Purchaser Telephone Number Purchased Date Effective PetroChina International America, Inc. 832-325-5317 100 September 1, 2015 Principal Place o"
W28755.pdf,28755,Otr-Otr KLINE FEDERAL 5300 31-18,33-053-06056,Gas,57,153N,100W,NENW,2490' FSL & 238' FWL,48.0744,-103.603161,"Oasis Petroleum North America, LLC",N/A,N/A,"Acidizing, Fracture Treatment, Shooting",Oasis,Name,"AUTHORIZATION TO PURCHASE AND TRANSPORT OIL FROM LEASE,...-..:..F.::;;onn~B~-----... INDUSTRIAL COMMISSION OF NORTH DAKOTA Welll'lle No. OIL AND GAS DMSION 28755 800 EAST BOULEVARD DEPT 405 NDtC CTI No. BISMARCK, NO 58505-0840 0 ).:> f (, ISFN 5898 (03-2000) ~ PI.EASI RI!AD INSTRUCTIONS IEfORI FIWNG OUT FORM. PI.EASI SUIMIT T1i1 ORIGINAL AND I'OUR COPIIS. Well Name and Number Otr-Otr KLINE FEDERAL 5300 31-18 7T LOT3 Operator Telephone Number Field Oasis Petroleum North America LLC (281) 404-9573"
W23370.pdf,23370,Spacing Unit Description Atlanta 3-6H,33-105-02730,Gas,57,153N,101W,NWNW,N/A,N/A,N/A,Continental Resources,12/16/12,12/24/12,"Acidizing, Fracture Treatment, Shooting",Pool,Name,"j SUNDRY NOTICES AND REPORTS ON WELLS - FGRM'Ar INDUSTRIAL COMMISSION OF NORTH DAKOTA ! OIL AND GAS DIVISION Well File No. 600 EAST BOULEVARD DEPT 405 23370 BISMARCK, ND 58505-0840 SFN 5749 (09-2006) PLEASE READ INSTRUCTIONS BEFORE FILLING OUT FORM. PLEASE SUBMIT THE ORIGINALI A ND ONE COPY. D Notice of Intent Approximate Start Date D Drilling Prognosis D Spill Report D Redrilling or Repair D Shooting Ill Report of Work Done Date Work Completed D Casing or Liner D Acidizing June 4, 2014 D PlugWe"
